NS 100
<<<<<<< HEAD
CN0 5412, LN0 102, HN0 3209
CN3 6504, LN3 1294, HN3 4391
CN4 7605, LN4 2395, HN4 5492

CN0 2514, LN0 7204, HN0 301
CN1 3615, LN1 8305, HN1 1402
CN2 4716, LN2 9406, HN2 2503
CN3 5817, LN3 507, HN3 3604
CN4 6918, LN4 1608, HN4 4705

CN0 4103, LN0 9893, HN0 2990
CN1 5204, LN1 994, HN1 3091
CN2 6305, LN2 1095, HN2 4192
CN3 7406, LN3 2196, HN3 5293
CN4 8507, LN4 3297, HN4 6394

CN0 2093, LN0 7783, HN0 880
CN1 3194, LN1 8884, HN1 1981
CN2 4295, LN2 9985, HN2 2082
CN3 5396, LN3 86, HN3 3183
CN4 6497, LN4 1187, HN4 4284

CN0 4215, LN0 9905, HN0 2002
CN1 5316, LN1 6, HN1 3103
CN2 6417, LN2 1107, HN2 4204
CN3 7518, LN3 2208, HN3 5305
CN4 8619, LN4 3309, HN4 6406

CN0 4512, LN0 9202, HN0 2309
CN1 5613, LN1 303, HN1 3400
CN2 6714, LN2 1404, HN2 4501
CN3 7815, LN3 2505, HN3 5602
CN4 8916, LN4 3606, HN4 6703

CN0 1294, LN0 6984, HN0 9081
CN1 2395, LN1 7085, HN1 182
CN2 3496, LN2 8186, HN2 1283
CN3 4597, LN3 9287, HN3 2384
CN4 5698, LN4 388, HN4 3485

CN0 394, LN0 5084, HN0 8181
CN1 1495, LN1 6185, HN1 9282
CN2 2596, LN2 7286, HN2 383
CN3 3697, LN3 8387, HN3 1484
CN4 4798, LN4 9488, HN4 2585

CN0 3205, LN0 8995, HN0 1092
CN1 4306, LN1 9096, HN1 2193
CN2 5407, LN2 197, HN2 3294
CN3 6508, LN3 1298, HN3 4395
CN4 7609, LN4 2399, HN4 5496

CN0 2381, LN0 7071, HN0 178
CN1 3482, LN1 8172, HN1 1279
CN2 4583, LN2 9273, HN2 2370
CN3 5684, LN3 374, HN3 3471
CN4 6785, LN4 1475, HN4 4572

CN0 493, LN0 5183, HN0 8280
CN1 1594, LN1 6284, HN1 9381
CN2 2695, LN2 7385, HN2 482
CN3 3796, LN3 8486, HN3 1583
CN4 4897, LN4 9587, HN4 2684

CN0 4503, LN0 9293, HN0 2390
CN1 5604, LN1 394, HN1 3491
CN2 6705, LN2 1495, HN2 4592
CN3 7806, LN3 2596, HN3 5693
CN4 8907, LN4 3697, HN4 6794

CN0 293, LN0 5983, HN0 8080
CN1 1394, LN1 6084, HN1 9181
CN2 2495, LN2 7185, HN2 282
CN3 3596, LN3 8286, HN3 1383
CN4 4697, LN4 9387, HN4 2484

CN0 381, LN0 5071, HN0 8178
CN1 1482, LN1 6172, HN1 9279
CN2 2583, LN2 7273, HN2 370
CN3 3684, LN3 8374, HN3 1471
CN4 4785, LN4 9475, HN4 2572

CN0 4501, LN0 9291, HN0 2398
CN1 5602, LN1 392, HN1 3499
CN2 6703, LN2 1493, HN2 4590
CN3 7804, LN3 2594, HN3 5691
CN4 8905, LN4 3695, HN4 6792

CN0 2314, LN0 7004, HN0 101
CN1 3415, LN1 8105, HN1 1202
CN2 4516, LN2 9206, HN2 2303
CN3 5617, LN3 307, HN3 3404
CN4 6718, LN4 1408, HN4 4505

CN0 3180, LN0 8870, HN0 1977
CN1 4281, LN1 9971, HN1 2078
CN2 5382, LN2 72, HN2 3179
CN3 6483, LN3 1173, HN3 4270
CN4 7584, LN4 2274, HN4 5371

CN0 3094, LN0 8784, HN0 1881
CN1 4195, LN1 9885, HN1 2982
CN2 5296, LN2 986, HN2 3083
CN3 6397, LN3 1087, HN3 4184
CN4 7498, LN4 2188, HN4 5285

CN0 2415, LN0 7105, HN0 202
CN1 3516, LN1 8206, HN1 1303
CN2 4617, LN2 9307, HN2 2404
CN3 5718, LN3 408, HN3 3505
CN4 6819, LN4 1509, HN4 4606

CN0 4392, LN0 9082, HN0 2189
CN1 5493, LN1 183, HN1 3280
CN2 6594, LN2 1284, HN2 4381
CN3 7695, LN3 2385, HN3 5482
CN4 8796, LN4 3486, HN4 6583

CN0 5203, LN0 993, HN0 3090
CN1 6304, LN1 1094, HN1 4191
CN2 7405, LN2 2195, HN2 5292
CN3 8506, LN3 3296, HN3 6393
CN4 9607, LN4 4397, HN4 7494

CN0 1092, LN0 6782, HN0 9889
CN1 2193, LN1 7883, HN1 980
CN2 3294, LN2 8984, HN2 1081
CN3 4395, LN3 9085, HN3 2182
CN4 5496, LN4 186, HN4 3283

CN0 1072, LN0 6762, HN0 9869
CN1 2173, LN1 7863, HN1 960
CN2 3274, LN2 8964, HN2 1061
CN3 4375, LN3 9065, HN3 2162
CN4 5476, LN4 166, HN4 3263

CN0 5104, LN0 894, HN0 3991
CN1 6205, LN1 1995, HN1 4092
CN2 7306, LN2 2096, HN2 5193
CN3 8407, LN3 3197, HN3 6294
CN4 9508, LN4 4298, HN4 7395

CN0 3504, LN0 8294, HN0 1391
CN1 4605, LN1 9395, HN1 2492
CN2 5706, LN2 496, HN2 3593
CN3 6807, LN3 1597, HN3 4694
CN4 7908, LN4 2698, HN4 5795

CN0 2501, LN0 7291, HN0 398
CN1 3602, LN1 8392, HN1 1499
CN2 4703, LN2 9493, HN2 2590
CN3 5804, LN3 594, HN3 3691
CN4 6905, LN4 1695, HN4 4792

CN0 1270, LN0 6960, HN0 9067
CN1 2371, LN1 7061, HN1 168
CN2 3472, LN2 8162, HN2 1269
CN3 4573, LN3 9263, HN3 2360
CN4 5674, LN4 364, HN4 3461

CN0 491, LN0 5181, HN0 8288
CN1 1592, LN1 6282, HN1 9389
CN2 2693, LN2 7383, HN2 480
CN3 3794, LN3 8484, HN3 1581
CN4 4895, LN4 9585, HN4 2682

CN0 1504, LN0 6294, HN0 9391
CN1 2605, LN1 7395, HN1 492
CN2 3706, LN2 8496, HN2 1593
CN3 4807, LN3 9597, HN3 2694
CN4 5908, LN4 698, HN4 3795

CN0 5201, LN0 991, HN0 3098
CN1 6302, LN1 1092, HN1 4199
CN2 7403, LN2 2193, HN2 5290
CN3 8504, LN3 3294, HN3 6391
CN4 9605, LN4 4395, HN4 7492

CN0 5102, LN0 892, HN0 3999
CN1 6203, LN1 1993, HN1 4090
CN2 7304, LN2 2094, HN2 5191
CN3 8405, LN3 3195, HN3 6292
CN4 9506, LN4 4296, HN4 7393

CN0 183, LN0 5873, HN0 8970
CN1 1284, LN1 6974, HN1 9071
CN2 2385, LN2 7075, HN2 172
CN3 3486, LN3 8176, HN3 1273
CN4 4587, LN4 9277, HN4 2374

CN0 194, LN0 5884, HN0 8981
CN1 1295, LN1 6985, HN1 9082
CN2 2396, LN2 7086, HN2 183
CN3 3497, LN3 8187, HN3 1284
CN4 4598, LN4 9288, HN4 2385

CN0 3092, LN0 8782, HN0 1889
CN1 4193, LN1 9883, HN1 2980
CN2 5294, LN2 984, HN2 3081
CN3 6395, LN3 1085, HN3 4182
CN4 7496, LN4 2186, HN4 5283

CN0 1094, LN0 6784, HN0 9881
CN1 2195, LN1 7885, HN1 982
CN2 3296, LN2 8986, HN2 1083
CN3 4397, LN3 9087, HN3 2184
CN4 5498, LN4 188, HN4 3285

CN0 2493, LN0 7183, HN0 280
CN1 3594, LN1 8284, HN1 1381
CN2 4695, LN2 9385, HN2 2482
CN3 5796, LN3 486, HN3 3583
CN4 6897, LN4 1587, HN4 4684

CN0 4523, LN0 9213, HN0 2310
CN1 5624, LN1 314, HN1 3411
CN2 6725, LN2 1415, HN2 4512
CN3 7826, LN3 2516, HN3 5613
CN4 8927, LN4 3617, HN4 6714

CN0 3081, LN0 8771, HN0 1878
CN1 4182, LN1 9872, HN1 2979
CN2 5283, LN2 973, HN2 3070
CN3 6384, LN3 1074, HN3 4171
CN4 7485, LN4 2175, HN4 5272

CN0 5214, LN0 904, HN0 3001
CN1 6315, LN1 1005, HN1 4102
CN2 7416, LN2 2106, HN2 5203
CN3 8517, LN3 3207, HN3 6304
CN4 9618, LN4 4308, HN4 7405

CN0 1083, LN0 6773, HN0 9870
CN1 2184, LN1 7874, HN1 971
CN2 3285, LN2 8975, HN2 1072
CN3 4386, LN3 9076, HN3 2173
CN4 5487, LN4 177, HN4 3274

CN0 1302, LN0 6092, HN0 9199
CN1 2403, LN1 7193, HN1 290
CN2 3504, LN2 8294, HN2 1391
CN3 4605, LN3 9395, HN3 2492
CN4 5706, LN4 496, HN4 3593

CN0 271, LN0 5961, HN0 8068
CN1 1372, LN1 6062, HN1 9169
CN2 2473, LN2 7163, HN2 260
CN3 3574, LN3 8264, HN3 1361
CN4 4675, LN4 9365, HN4 2462

CN0 2413, LN0 7103, HN0 200
CN1 3514, LN1 8204, HN1 1301
CN2 4615, LN2 9305, HN2 2402
CN3 5716, LN3 406, HN3 3503
CN4 6817, LN4 1507, HN4 4604

CN0 172, LN0 5862, HN0 8969
CN1 1273, LN1 6963, HN1 9060
CN2 2374, LN2 7064, HN2 161
CN3 3475, LN3 8165, HN3 1262
CN4 4576, LN4 9266, HN4 2363

CN0 291, LN0 5981, HN0 8088
CN1 1392, LN1 6082, HN1 9189
CN2 2493, LN2 7183, HN2 280
CN3 3594, LN3 8284, HN3 1381
CN4 4695, LN4 9385, HN4 2482

CN0 4091, LN0 9781, HN0 2888
CN1 5192, LN1 882, HN1 3989
CN2 6293, LN2 1983, HN2 4080
CN3 7394, LN3 2084, HN3 5181
CN4 8495, LN4 3185, HN4 6282

CN0 4301, LN0 9091, HN0 2198
CN1 5402, LN1 192, HN1 3299
CN2 6503, LN2 1293, HN2 4390
CN3 7604, LN3 2394, HN3 5491
CN4 8705, LN4 3495, HN4 6592

CN0 4312, LN0 9002, HN0 2109
CN1 5413, LN1 103, HN1 3200
CN2 6514, LN2 1204, HN2 4301
CN3 7615, LN3 2305, HN3 5402
CN4 8716, LN4 3406, HN4 6503

CN0 4305, LN0 9095, HN0 2192
CN1 5406, LN1 196, HN1 3293
CN2 6507, LN2 1297, HN2 4394
CN3 7608, LN3 2398, HN3 5495
CN4 8709, LN4 3499, HN4 6596

CN0 1283, LN0 6973, HN0 9070
CN1 2384, LN1 7074, HN1 171
CN2 3485, LN2 8175, HN2 1272
CN3 4586, LN3 9276, HN3 2373
CN4 5687, LN4 377, HN4 3474

CN0 3492, LN0 8182, HN0 1289
CN1 4593, LN1 9283, HN1 2380
CN2 5694, LN2 384, HN2 3481
CN3 6795, LN3 1485, HN3 4582
CN4 7896, LN4 2586, HN4 5683

CN0 3524, LN0 8214, HN0 1311
CN1 4625, LN1 9315, HN1 2412
CN2 5726, LN2 416, HN2 3513
CN3 6827, LN3 1517, HN3 4614
CN4 7928, LN4 2618, HN4 5715

CN0 2105, LN0 7895, HN0 992
CN1 3206, LN1 8996, HN1 1093
CN2 4307, LN2 9097, HN2 2194
CN3 5408, LN3 198, HN3 3295
CN4 6509, LN4 1299, HN4 4396

CN0 2103, LN0 7893, HN0 990
CN1 3204, LN1 8994, HN1 1091
CN2 4305, LN2 9095, HN2 2192
CN3 5406, LN3 196, HN3 3293
CN4 6507, LN4 1297, HN4 4394

CN0 3412, LN0 8102, HN0 1209
CN1 4513, LN1 9203, HN1 2300
CN2 5614, LN2 304, HN2 3401
CN3 6715, LN3 1405, HN3 4502
CN4 7816, LN4 2506, HN4 5603

CN0 2091, LN0 7781, HN0 888
CN1 3192, LN1 8882, HN1 1989
CN2 4293, LN2 9983, HN2 2080
CN3 5394, LN3 84, HN3 3181
CN4 6495, LN4 1185, HN4 4282

CN0 3281, LN0 8971, HN0 1078
CN1 4382, LN1 9072, HN1 2179
CN2 5483, LN2 173, HN2 3270
CN3 6584, LN3 1274, HN3 4371
CN4 7685, LN4 2375, HN4 5472

CN0 4291, LN0 9981, HN0 2088
CN1 5392, LN1 82, HN1 3189
CN2 6493, LN2 1183, HN2 4280
CN3 7594, LN3 2284, HN3 5381
CN4 8695, LN4 3385, HN4 6482

CN0 3401, LN0 8191, HN0 1298
CN1 4502, LN1 9292, HN1 2399
CN2 5603, LN2 393, HN2 3490
CN3 6704, LN3 1494, HN3 4591
CN4 7805, LN4 2595, HN4 5692

CN0 2194, LN0 7884, HN0 981
CN1 3295, LN1 8985, HN1 1082
CN2 4396, LN2 9086, HN2 2183
CN3 5497, LN3 187, HN3 3284
CN4 6598, LN4 1288, HN4 4385

CN0 4213, LN0 9903, HN0 2000
CN1 5314, LN1 4, HN1 3101
CN2 6415, LN2 1105, HN2 4202
CN3 7516, LN3 2206, HN3 5303
CN4 8617, LN4 3307, HN4 6404

CN0 2183, LN0 7873, HN0 970
CN1 3284, LN1 8974, HN1 1071
CN2 4385, LN2 9075, HN2 2172
CN3 5486, LN3 176, HN3 3273
CN4 6587, LN4 1277, HN4 4374

CN0 3214, LN0 8904, HN0 1001
CN1 4315, LN1 9005, HN1 2102
CN2 5416, LN2 106, HN2 3203
CN3 6517, LN3 1207, HN3 4304
CN4 7618, LN4 2308, HN4 5405

CN0 2503, LN0 7293, HN0 390
CN1 3604, LN1 8394, HN1 1491
CN2 4705, LN2 9495, HN2 2592
CN3 5806, LN3 596, HN3 3693
CN4 6907, LN4 1697, HN4 4794

CN0 3425, LN0 8115, HN0 1212
CN1 4526, LN1 9216, HN1 2313
CN2 5627, LN2 317, HN2 3414
CN3 6728, LN3 1418, HN3 4515
CN4 7829, LN4 2519, HN4 5616

CN0 1304, LN0 6094, HN0 9191
CN1 2405, LN1 7195, HN1 292
CN2 3506, LN2 8296, HN2 1393
CN3 4607, LN3 9397, HN3 2494
CN4 5708, LN4 498, HN4 3595

CN0 3490, LN0 8180, HN0 1287
CN1 4591, LN1 9281, HN1 2388
CN2 5692, LN2 382, HN2 3489
CN3 6793, LN3 1483, HN3 4580
CN4 7894, LN4 2584, HN4 5681

CN0 1203, LN0 6993, HN0 9090
CN1 2304, LN1 7094, HN1 191
CN2 3405, LN2 8195, HN2 1292
CN3 4506, LN3 9296, HN3 2393
CN4 5607, LN4 397, HN4 3494

CN0 2071, LN0 7761, HN0 868
CN1 3172, LN1 8862, HN1 1969
CN2 4273, LN2 9963, HN2 2060
CN3 5374, LN3 64, HN3 3161
CN4 6475, LN4 1165, HN4 4262

CN0 5423, LN0 113, HN0 3210
CN1 6524, LN1 1214, HN1 4311
CN2 7625, LN2 2315, HN2 5412
CN3 8726, LN3 3416, HN3 6513
CN4 9827, LN4 4517, HN4 7614

CN0 3502, LN0 8292, HN0 1399
CN1 4603, LN1 9393, HN1 2490
CN2 5704, LN2 494, HN2 3591
CN3 6805, LN3 1595, HN3 4692
CN4 7906, LN4 2696, HN4 5793

CN0 2390, LN0 7080, HN0 187
CN1 3491, LN1 8181, HN1 1288
CN2 4592, LN2 9282, HN2 2389
CN3 5693, LN3 383, HN3 3480
CN4 6794, LN4 1484, HN4 4581

CN0 2190, LN0 7880, HN0 987
CN1 3291, LN1 8981, HN1 1088
CN2 4392, LN2 9082, HN2 2189
CN3 5493, LN3 183, HN3 3280
CN4 6594, LN4 1284, HN4 4381

CN0 2394, LN0 7084, HN0 181
CN1 3495, LN1 8185, HN1 1282
CN2 4596, LN2 9286, HN2 2383
CN3 5697, LN3 387, HN3 3484
CN4 6798, LN4 1488, HN4 4585
=======
CN0 5326, LN0 998, HN0 3386
CN1 8109, LN1 3771, HN1 6169
CN2 1982, LN2 6554, HN2 9942
CN3 4765, LN3 9337, HN3 2725
CN4 7548, LN4 2110, HN4 5508

CN0 5324, LN0 996, HN0 3384
CN1 8107, LN1 3779, HN1 6167
CN2 1980, LN2 6552, HN2 9940
CN3 4763, LN3 9335, HN3 2723
CN4 7546, LN4 2118, HN4 5506

CN0 5630, LN0 202, HN0 3690
CN1 8413, LN1 3085, HN1 6473
CN2 1296, LN2 6868, HN2 9256
CN3 4079, LN3 9641, HN3 2039
CN4 7852, LN4 2424, HN4 5812

CN0 2541, LN0 7113, HN0 501
CN1 5324, LN1 996, HN1 3384
CN2 8107, LN2 3779, HN2 6167
CN3 1980, LN3 6552, HN3 9940
CN4 4763, LN4 9335, HN4 2723

CN0 6325, LN0 1997, HN0 4385
CN1 9108, LN1 4770, HN1 7168
CN2 2981, LN2 7553, HN2 941
CN3 5764, LN3 336, HN3 3724
CN4 8547, LN4 3119, HN4 6507

CN0 5317, LN0 989, HN0 3377
CN1 8190, LN1 3762, HN1 6150
CN2 1973, LN2 6545, HN2 9933
CN3 4756, LN3 9328, HN3 2716
CN4 7539, LN4 2101, HN4 5599

CN0 5270, LN0 842, HN0 3230
CN1 8053, LN1 3625, HN1 6013
CN2 1836, LN2 6408, HN2 9896
CN3 4619, LN3 9281, HN3 2679
CN4 7492, LN4 2064, HN4 5452

CN0 7041, LN0 2613, HN0 5001
CN1 824, LN1 5496, HN1 8884
CN2 3607, LN2 8279, HN2 1667
CN3 6480, LN3 1052, HN3 4440
CN4 9263, LN4 4835, HN4 7223

CN0 7034, LN0 2606, HN0 5094
CN1 817, LN1 5489, HN1 8877
CN2 3690, LN2 8262, HN2 1650
CN3 6473, LN3 1045, HN3 4433
CN4 9256, LN4 4828, HN4 7216

CN0 7403, LN0 2075, HN0 5463
CN1 286, LN1 5858, HN1 8246
CN2 3069, LN2 8631, HN2 1029
CN3 6842, LN3 1414, HN3 4802
CN4 9625, LN4 4297, HN4 7685

CN0 6370, LN0 1942, HN0 4330
CN1 9153, LN1 4725, HN1 7113
CN2 2936, LN2 7508, HN2 996
CN3 5719, LN3 381, HN3 3779
CN4 8592, LN4 3164, HN4 6552

CN0 6730, LN0 1302, HN0 4790
CN1 9513, LN1 4185, HN1 7573
CN2 2396, LN2 7968, HN2 356
CN3 5179, LN3 741, HN3 3139
CN4 8952, LN4 3524, HN4 6912

CN0 6523, LN0 1195, HN0 4583
CN1 9306, LN1 4978, HN1 7366
CN2 2189, LN2 7751, HN2 149
CN3 5962, LN3 534, HN3 3922
CN4 8745, LN4 3317, HN4 6705

CN0 5432, LN0 4, HN0 3492
CN1 8215, LN1 3887, HN1 6275
CN2 1098, LN2 6660, HN2 9058
CN3 4871, LN3 9443, HN3 2831
CN4 7654, LN4 2226, HN4 5614

CN0 4523, LN0 9195, HN0 2583
CN1 7306, LN1 2978, HN1 5366
CN2 189, LN2 5751, HN2 8149
CN3 3962, LN3 8534, HN3 1922
CN4 6745, LN4 1317, HN4 4705

CN0 6431, LN0 1003, HN0 4491
CN1 9214, LN1 4886, HN1 7274
CN2 2097, LN2 7669, HN2 57
CN3 5870, LN3 442, HN3 3830
CN4 8653, LN4 3225, HN4 6613

CN0 1407, LN0 6079, HN0 9467
CN1 4280, LN1 9852, HN1 2240
CN2 7063, LN2 2635, HN2 5023
CN3 846, LN3 5418, HN3 8806
CN4 3629, LN4 8291, HN4 1689

CN0 4730, LN0 9302, HN0 2790
CN1 7513, LN1 2185, HN1 5573
CN2 396, LN2 5968, HN2 8356
CN3 3179, LN3 8741, HN3 1139
CN4 6952, LN4 1524, HN4 4912

CN0 5421, LN0 93, HN0 3481
CN1 8204, LN1 3876, HN1 6264
CN2 1087, LN2 6659, HN2 9047
CN3 4860, LN3 9432, HN3 2820
CN4 7643, LN4 2215, HN4 5603

CN0 734, LN0 5306, HN0 8794
CN1 3517, LN1 8189, HN1 1577
CN2 6390, LN2 1962, HN2 4350
CN3 9173, LN3 4745, HN3 7133
CN4 2956, LN4 7528, HN4 916

CN0 167, LN0 5739, HN0 8127
CN1 3940, LN1 8512, HN1 1900
CN2 6723, LN2 1395, HN2 4783
CN3 9506, LN3 4178, HN3 7566
CN4 2389, LN4 7951, HN4 349

CN0 1542, LN0 6114, HN0 9502
CN1 4325, LN1 9997, HN1 2385
CN2 7108, LN2 2770, HN2 5168
CN3 981, LN3 5553, HN3 8941
CN4 3764, LN4 8336, HN4 1724

CN0 1425, LN0 6097, HN0 9485
CN1 4208, LN1 9870, HN1 2268
CN2 7081, LN2 2653, HN2 5041
CN3 864, LN3 5436, HN3 8824
CN4 3647, LN4 8219, HN4 1607

CN0 1346, LN0 6918, HN0 9306
CN1 4129, LN1 9791, HN1 2189
CN2 7902, LN2 2574, HN2 5962
CN3 785, LN3 5357, HN3 8745
CN4 3568, LN4 8130, HN4 1528

CN0 4037, LN0 9609, HN0 2097
CN1 7810, LN1 2482, HN1 5870
CN2 693, LN2 5265, HN2 8653
CN3 3476, LN3 8048, HN3 1436
CN4 6259, LN4 1821, HN4 4219

CN0 2345, LN0 7917, HN0 305
CN1 5128, LN1 790, HN1 3188
CN2 8901, LN2 3573, HN2 6961
CN3 1784, LN3 6356, HN3 9744
CN4 4567, LN4 9139, HN4 2527

CN0 5423, LN0 95, HN0 3483
CN1 8206, LN1 3878, HN1 6266
CN2 1089, LN2 6651, HN2 9049
CN3 4862, LN3 9434, HN3 2822
CN4 7645, LN4 2217, HN4 5605

CN0 7043, LN0 2615, HN0 5003
CN1 826, LN1 5498, HN1 8886
CN2 3609, LN2 8271, HN2 1669
CN3 6482, LN3 1054, HN3 4442
CN4 9265, LN4 4837, HN4 7225

CN0 3470, LN0 8042, HN0 1430
CN1 6253, LN1 1825, HN1 4213
CN2 9036, LN2 4608, HN2 7096
CN3 2819, LN3 7481, HN3 879
CN4 5692, LN4 264, HN4 3652

CN0 3740, LN0 8312, HN0 1700
CN1 6523, LN1 1195, HN1 4583
CN2 9306, LN2 4978, HN2 7366
CN3 2189, LN3 7751, HN3 149
CN4 5962, LN4 534, HN4 3922

CN0 7153, LN0 2725, HN0 5113
CN1 936, LN1 5508, HN1 8996
CN2 3719, LN2 8381, HN2 1779
CN3 6592, LN3 1164, HN3 4552
CN4 9375, LN4 4947, HN4 7335

CN0 376, LN0 5948, HN0 8336
CN1 3159, LN1 8721, HN1 1119
CN2 6932, LN2 1504, HN2 4992
CN3 9715, LN3 4387, HN3 7775
CN4 2598, LN4 7160, HN4 558

CN0 3542, LN0 8114, HN0 1502
CN1 6325, LN1 1997, HN1 4385
CN2 9108, LN2 4770, HN2 7168
CN3 2981, LN3 7553, HN3 941
CN4 5764, LN4 336, HN4 3724

CN0 6307, LN0 1979, HN0 4367
CN1 9180, LN1 4752, HN1 7140
